yrtrt,yrcollect,scode,pcode,sp_number,method,mdep,f1,f10,f100,f1000,ftotal
2007,2008,GR,G,1,Quad,1.833333333,10472.8,6875.52,7664.533333,0,25012.85333
2007,2008,GR,G,3,Quad,3.266666667,11925.97333,6888.746667,8355.573333,0,27170.29333
2007,2008,GR,G,5,Quad,1.4,4875.306667,4608.96,89.06666667,0,9573.333333
2007,2008,GR,G,10,Quad,1.9,6324.053333,6329.973333,2715.893333,0,15369.92
2007,2008,GR,G,11,Quad,0.433333333,1964.426667,1178.72,494.3466667,0,3637.493333
2007,2008,GR,G,15,Quad,0.033333333,95.89333333,78.29333333,0,0,174.1866667
2007,2008,GR,G,16,Quad,0.333333333,697.8133333,1121.706667,0,6298.986667,8118.506667
2007,2008,GR,G,18,Quad,1.066666667,5052.853333,3583.68,0,0,8636.533333
2007,2008,GR,G,21,Quad,1,3332.426667,3108.8,2166.186667,0,8607.413333
2007,2008,GR,G,26,Quad,1.266666667,3182.72,3943.626667,3044.853333,0,10171.2
2007,2008,GR,G,27,Quad,1.566666667,5521.706667,2969.813333,5603.093333,0,14094.61333
2007,2008,GR,G,28,Quad,0.466666667,1678.773333,1942.293333,0,0,3621.066667
2007,2008,GR,G,29,Quad,3.4,13689.44,6367.2,7890.453333,2032.906667,29980
2007,2008,GR,G,31,Quad,0.766666667,2955.466667,1250.72,4429.226667,0,8635.413333
2007,2008,GR,G,35,Quad,1.633333333,6780.853333,2163.893333,1814.826667,5543.146667,16302.72
2006,2007,ON,G,4,Quad,1.2,5100.853333,3089.386667,0,0,8190.24
2006,2007,ON,G,5,Quad,1.436666667,7418.88,2509.546667,1301.546667,0,11229.97333
2006,2007,ON,G,6,Quad,0.183333333,1259.306667,1305.28,388.4266667,0,2953.013333
2006,2007,ON,G,10,Quad,1.35,6973.813333,3763.36,1288.106667,0,12025.28
2006,2007,ON,G,12,Quad,0.15,1220.266667,213.6,0,0,1433.866667
2006,2007,ON,G,13,Quad,0.326666667,2197.386667,587.68,0,0,2785.066667
2006,2007,ON,G,17,Quad,2.5,16657.44,6349.493333,329.4933333,0,23336.42667
2006,2007,ON,G,18,Quad,1.696666667,10400.48,4931.946667,0,0,15332.42667
2006,2007,ON,G,19,Quad,1.579310345,8316.266667,6180,726.24,0,15222.50667
2006,2007,ON,G,22,Quad,0.58,5251.573333,1530.453333,0,0,6782.026667
2006,2007,ON,G,24,Quad,1.066666667,7648.906667,3182.506667,935.1466667,0,11766.56
2006,2007,ON,G,26,Quad,3.24,16399.41333,10911.57333,5288.586667,2482.453333,35082.02667
2006,2007,ON,G,30,Quad,0.433333333,2679.306667,2090.72,560.2666667,0,5330.293333
2006,2007,ON,G,31,Quad,0.143333333,1514.933333,627.8933333,0,0,2142.826667
2006,2007,ON,G,33,Quad,3.27,19649.33333,9464.853333,2799.84,0,31914.02667
2006,2007,ON,G,34,Quad,1.98,11717.01333,6639.36,1307.413333,0,19663.78667
2007,2008,SC,G,1,Quad,1.533333333,7578.72,5396.533333,1460.8,0,14436.05333
2007,2008,SC,G,2,Quad,1.8,7985.92,6418.986667,1620.32,0,16025.22667
2007,2008,SC,G,3,Quad,0.633333333,2161.6,1939.2,0,0,4100.8
2007,2008,SC,G,4,Quad,1.166666667,4925.12,2588.48,618.4533333,0,8132.053333
2007,2008,SC,G,5,Quad,0.733333333,3029.76,3136.693333,1507.893333,0,7674.346667
2007,2008,SC,G,6,Quad,0.5,1681.493333,1798.346667,163.0933333,0,3642.933333
2007,2008,SC,G,7,Quad,1.233333333,6178.506667,4850.346667,0,0,11028.85333
2007,2008,SC,G,8,Quad,1.666666667,9263.52,5066.133333,781.76,0,15111.41333
2007,2008,SC,G,9,Quad,1.833333333,8589.28,5300.48,1310.933333,3855.52,19056.21333
2007,2008,SC,G,10,Quad,0.966666667,4303.946667,3171.413333,1779.893333,0,9255.253333
2007,2008,SC,G,11,Quad,1.466666667,5410.453333,3151.093333,0,0,8561.546667
2007,2008,SC,G,12,Quad,0.966666667,3759.413333,3811.733333,0,0,7571.146667
2007,2008,SC,G,13,Quad,0.8,1883.466667,2355.04,0,0,4238.506667
2007,2008,SC,G,14,Quad,2.1,12537.28,6752.373333,2685.013333,0,21974.66667
2007,2008,ST,G,0,Quad,1.4,7680.906667,5517.013333,3208.746667,0,16406.66667
2007,2008,ST,G,1,Quad,1.766666667,7673.173333,5490.453333,1024.373333,0,14188
2007,2008,ST,G,3,Quad,2.5,10806.66667,6912.266667,1916.8,0,19635.73333
2007,2008,ST,G,4,Quad,2.366666667,12324.16,6933.866667,292.8,0,19550.82667
2007,2008,ST,G,6,Quad,1.933333333,6994.346667,6225.12,519.36,0,13738.82667
2007,2008,ST,G,10,Quad,1.033333333,4657.173333,2643.36,386.7733333,0,7687.306667
2007,2008,ST,G,12,Quad,1.233333333,5563.093333,3221.813333,587.04,0,9371.946667
2007,2008,ST,G,13,Quad,0.9,4355.573333,3151.36,2950.4,0,10457.33333
2007,2008,ST,G,14,Quad,0.5,877.3333333,1042.133333,1818.986667,3229.866667,6968.32
2007,2008,ST,G,15,Quad,0.533333333,1927.68,2480.906667,0,0,4408.586667
2007,2008,ST,G,17,Quad,1.833333333,6752.266667,5876.213333,1843.786667,0,14472.26667
2007,2008,ST,G,23,Quad,1.1,5462.72,4740.266667,462.6133333,0,10665.6
2007,2008,ST,G,24,Quad,1.066666667,4526.88,4196.586667,1572.746667,0,10296.21333
2007,2008,ST,G,25,Quad,3.2,13587.41333,10084.42667,6315.2,0,29987.04
2007,2008,ST,G,26,Quad,1.866666667,9330.08,6092.053333,1306.773333,0,16728.90667
