Day,Melt_2012,Melt_2014
1,0.999992533,0.999648541
2,0.999983957,0.999271413
3,0.999974121,0.998867038
4,0.999962853,0.998433764
5,0.999949963,0.997969864
6,0.999935235,0.997473537
7,0.999918428,0.996942902
8,0.999899274,0.996376004
9,0.999877472,0.995770805
10,0.999852689,0.995125191
11,0.999824552,0.994436965
12,0.999792648,0.993703851
13,0.99975652,0.99292349
14,0.999715659,0.992093445
15,0.999669505,0.991211196
16,0.999617439,0.990274146
17,0.999558778,0.989279617
18,0.99949277,0.988224854
19,0.999418592,0.987107026
20,0.999335337,0.985923227
21,0.999242015,0.98467048
22,0.99913754,0.983345735
23,0.999020729,0.981945879
24,0.998890293,0.980467733
25,0.998744827,0.978908059
26,0.998582807,0.97726356
27,0.998402578,0.975530889
28,0.99820235,0.973706654
29,0.997980187,0.971787416
30,0.997734,0.969769703
31,0.99746154,0.967650012
32,0.997160387,0.965424813
33,0.996827942,0.963090561
34,0.996461424,0.9606437
35,0.996057854,0.958080669
36,0.995614054,0.955397915
37,0.995126634,0.952591894
38,0.994591991,0.949659086
39,0.994006296,0.946596001
40,0.993365493,0.943399188
41,0.99266529,0.940065244
42,0.991901157,0.936590826
43,0.991068319,0.932972659
44,0.990161755,0.929207547
45,0.989176199,0.925292383
46,0.988106131,0.921224159
47,0.986945786,0.91699998
48,0.985689153,0.912617068
49,0.984329975,0.90807278
50,0.982861759,0.903364614
51,0.981277778,0.898490222
52,0.979571083,0.893447421
53,0.977734511,0.888234202
54,0.975760699,0.88284874
55,0.973642095,0.877289407
56,0.971370975,0.87155478
57,0.968939464,0.865643651
58,0.966339554,0.859555038
59,0.963563124,0.853288189
60,0.96060197,0.846842598
61,0.957447827,0.840218008
62,0.9540924,0.833414418
63,0.950527394,0.826432095
64,0.946744546,0.819271575
65,0.942735663,0.811933673
66,0.938492653,0.804419485
67,0.934007567,0.796730395
68,0.929272638,0.788868077
69,0.924280319,0.780834499
70,0.919023329,0.772631924
71,0.913494692,0.764262912
72,0.907687783,0.755730321
73,0.90159637,0.746880334
74,0.895214659,0.737877118
75,0.888537338,0.728724708
76,0.88155962,0.719427426
77,0.874277285,0.709989875
78,0.866686724,0.700416934
79,0.858784974,0.690713751
80,0.850569765,0.680885735
81,0.842039548,0.670938549
82,0.833193536,0.6608781
83,0.824031729,0.650710528
84,0.814554952,0.640442195
85,0.804764869,0.630079675
86,0.794664016,0.619629741
87,0.784255812,0.609099349
88,0.773544575,0.598495628
89,0.762535535,0.587825865
90,0.751234833,0.577097488
91,0.739649531,0.566318052
92,0.727787601,0.555495222
93,0.715657918,0.544636758
94,0.703270249,0.533750497
95,0.690635234,0.522844339
96,0.677540814,0.511926224
97,0.664235945,0.50100412
98,0.650734476,0.490086005
99,0.637050968,0.479179847
100,0.623200644,0.468293586
101,0.60919934,0.457435122
102,0.595063452,0.446612292
103,0.580809878,0.435832855
104,0.56645596,0.425104478
105,0.552019417,0.414434716
106,0.53751828,0.403830995
107,0.522970829,0.393300603
108,0.508395518,0.382850669
109,0.493810909,0.372488149
110,0.479235598,0.362219816
111,0.464688147,0.352052244
112,0.450187011,0.341991795
113,0.435750467,0.332044609
114,0.421396549,0.322216593
115,0.407142976,0.31251341
116,0.393007088,0.302940469
117,0.379005783,0.293502918
118,0.365155459,0.284205636
119,0.351471951,0.275053226
120,0.337970483,0.26605001
121,0.324665613,0.257200023
122,0.311571193,0.248507008
123,0.298700321,0.239974418
124,0.286065306,0.231605406
125,0.273677637,0.223402831
126,0.261547954,0.215369252
127,0.249686023,0.207506934
128,0.238100721,0.199817844
129,0.22680002,0.192303656
130,0.21579098,0.184965754
131,0.205382775,0.177805234
132,0.195281922,0.170822911
133,0.18549184,0.164019322
134,0.176015062,0.157394731
135,0.166853256,0.15094914
136,0.158007243,0.144682292
137,0.149477026,0.138593678
138,0.141261817,0.13268255
139,0.133360068,0.126947923
140,0.125769506,0.12138859
141,0.118487171,0.116003128
142,0.111509453,0.110789908
143,0.104832133,0.105747107
144,0.098450422,0.100872716
145,0.092359009,0.09616455
146,0.0865521,0.091620262
147,0.081023463,0.08723735
148,0.075766473,0.08301317
149,0.070774154,0.078944947
150,0.066039224,0.075029783
151,0.061554138,0.071264671
152,0.057311128,0.067646504
153,0.053302245,0.064172086
154,0.049519398,0.060838142
155,0.045954391,0.057641328
156,0.042598964,0.054578243
157,0.039444821,0.051645436
158,0.036483667,0.048839415
159,0.033707238,0.04615666
160,0.031107327,0.04359363
161,0.028675817,0.041146769
162,0.026404697,0.038812517
163,0.024286092,0.036587318
164,0.02231228,0.034467626
165,0.020475709,0.032449913
166,0.018769014,0.030530676
167,0.017185033,0.02870644
168,0.015716816,0.02697377
169,0.014357638,0.025329271
170,0.013101005,0.023769596
171,0.011940661,0.02229145
172,0.010870593,0.020891594
173,0.009885036,0.01956685
174,0.008978473,0.018314102
175,0.008145635,0.017130303
176,0.007381501,0.016012475
177,0.006681298,0.014957712
178,0.006040495,0.013963183
179,0.005454801,0.013026133
180,0.004920157,0.012143885
181,0.004432738,0.01131384
182,0.003988937,0.010533479
183,0.003585367,0.009800364
184,0.003218849,0.009112138
185,0.002886405,0.008466524
186,0.002585251,0.007861326
187,0.002312791,0.007294427
188,0.002066605,0.006763793
189,0.001844442,0.006267465
190,0.001644214,0.005803565
191,0.001463985,0.005370291
192,0.001301965,0.004965916
193,0.001156499,0.004588789
194,0.001026062,0.00423733
195,0.000909252,0.003910031
196,0.000804777,0.003605454
197,0.000711454,0.003322228
198,0.000628199,0.00305905
199,0.000554021,0.002814678
200,0.000488014,0.002587935
201,0.000429353,0.002377703
202,0.000377286,0.00218292
203,0.000331132,0.002002585
204,0.000290272,0.001835747
205,0.000254143,0.001681508
206,0.000222239,0.001539022
207,0.000194102,0.001407489
208,0.000169319,0.001286155
209,0.000147517,0.001174312
210,0.000128363,0.001071292
211,0.000111557,0.000976469
212,9.68E-05,0.000889254
213,8.39E-05,0.000809096
214,7.27E-05,0.000735476
215,6.28E-05,0.000667912
216,5.43E-05,0.00060595
217,4.68E-05,0.000549167
218,4.03E-05,0.000497169
219,3.47E-05,0.000449587
220,2.98E-05,0.000406077
221,2.55E-05,0.000366321
222,2.19E-05,0.000330021
223,1.87E-05,0.0002969
224,1.60E-05,0.000266703
225,1.36E-05,0.000239192
226,1.16E-05,0.000214145
227,9.82E-06,0.000191358
228,8.33E-06,0.000170644
229,7.04E-06,0.000151827
230,5.94E-06,0.000134745
231,5.00E-06,0.000119251
232,4.20E-06,0.000105207
233,3.51E-06,9.25E-05
234,2.93E-06,8.10E-05
235,2.43E-06,7.06E-05
236,2.01E-06,6.11E-05
237,1.65E-06,5.26E-05
238,1.34E-06,4.50E-05
239,1.09E-06,3.81E-05
240,8.69E-07,3.18E-05
241,6.85E-07,2.62E-05
242,5.30E-07,2.12E-05
243,3.99E-07,1.66E-05
244,2.89E-07,1.25E-05
245,1.97E-07,8.87E-06
246,1.19E-07,5.59E-06
247,5.44E-08,2.64E-06
248,-1.78E-16,-1.74E-16
