"subplot_id","year","speriod","dwd_fuel_10h","dwd_fuel_100h","dwd_fuel_1000h_s","dwd_fuel_1000h_r","tree_ltr_ld","tree_duff_ld","tree_ltr_depth","tree_duff_depth","tree_ltr_bulkd","tree_duff_bulkd","tree_cover_ttl","tree_cvr_JUOS","tree_cvr_PIED","tree_cvr_PIMO","live_tree_ltr_duff_ld","dead_tree_ltr_duff_ld","tree_ltr_duff_ld","rcode","scode","pcode","ptype","sp_number","treatment","sp_phase"
"JP-GR-BC006","17","001",568,772,266,200,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,"JP","GR","B","CP","006","FI","1"
"JP-GR-BC009","17","001",998,1434,1375,0,NA,NA,NA,NA,NA,NA,1.5,0,1.5,0,NA,1191,1191,"JP","GR","B","CP","009","FI","2"
"JP-GR-BC013","17","001",901,1985,0,760,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,"JP","GR","B","CP","013","FI","1"
"JP-GR-BC014","17","001",721,1434,1858,0,NA,NA,NA,NA,NA,NA,3.4,0,3.4,0,NA,0,0,"JP","GR","B","CP","014","FI","2"
"JP-GR-BC018","17","001",1635,882,842,0,NA,NA,NA,NA,NA,NA,3.2,0,3.2,0,NA,618,618,"JP","GR","B","CP","018","FI","2"
"JP-GR-BC020","17","001",374,221,595,0,NA,NA,NA,NA,NA,NA,2.4,0,2.4,0,NA,683,683,"JP","GR","B","CP","020","FI","1"
"JP-GR-BC026","17","001",208,772,0,513,NA,NA,NA,NA,NA,NA,1.6,0,1.6,0,NA,343,343,"JP","GR","B","CP","026","FI","2"
"JP-GR-BC027","17","001",1095,1764,211,493,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1,1,"JP","GR","B","CP","027","FI","1"
"JP-GR-BC030","17","001",1150,2095,421,513,NA,NA,NA,NA,NA,NA,2.2,2,0.2,0,NA,616,616,"JP","GR","B","CP","030","FI","1"
"JP-GR-BC031","17","001",901,1544,3207,1300,NA,NA,NA,NA,NA,NA,3,3,0,0,NA,850,850,"JP","GR","B","CP","031","FI","2"
"JP-GR-BC033","17","001",1261,2647,3871,247,NA,NA,NA,NA,NA,NA,16,4.3,11.7,0,NA,10291,10291,"JP","GR","B","CP","033","FI","3"
"JP-GR-BC034","17","001",776,2757,2635,358,NA,NA,NA,NA,NA,NA,17.2,2.7,14.5,0,NA,8605,8605,"JP","GR","B","CP","034","FI","3"
"JP-GR-BC036","17","001",1040,2867,951,0,NA,NA,NA,NA,NA,NA,0.8,0,0.8,0,NA,120,120,"JP","GR","B","CP","036","FI","2"
"JP-GR-BC037","17","001",1317,3198,1260,0,NA,NA,NA,NA,NA,NA,16.4,1.1,15.3,0,NA,5394,5394,"JP","GR","B","CP","037","FI","3"
"JP-GR-BC038","17","001",1303,1323,2796,0,NA,NA,NA,NA,NA,NA,23.2,4.9,18.3,0,NA,7010,7010,"JP","GR","B","CP","038","FI","3"
"JP-GR-CC003","17","001",1109,1764,0,631,NA,NA,NA,NA,NA,NA,45.9,16.9,29,0,33425,NA,33425,"JP","GR","C","CP","003","CO","3"
"JP-GR-CC004","17","001",679,882,740,2306,NA,NA,NA,NA,NA,NA,27.3,11.1,16.2,0,18641,NA,18641,"JP","GR","C","CP","004","CO","3"
"JP-GR-CC006","17","001",693,772,477,513,NA,NA,NA,NA,NA,NA,28.3,6.8,21.5,0,21523,NA,21523,"JP","GR","C","CP","006","CO","2"
"JP-GR-CC007","17","001",388,1323,398,0,NA,NA,NA,NA,NA,NA,41.6,17,24.6,0,19051,NA,19051,"JP","GR","C","CP","007","CO","3"
"JP-GR-CC008","17","001",1234,1985,211,200,NA,NA,NA,NA,NA,NA,30.9,14.2,16.7,0,22897,NA,22897,"JP","GR","C","CP","008","CO","2"
"JP-GR-CC013","17","001",333,772,0,772,NA,NA,NA,NA,NA,NA,55.1,15.8,39.3,0,23157,NA,23157,"JP","GR","C","CP","013","CO","3"
"JP-GR-CC016","17","001",1220,1875,266,920,NA,NA,NA,NA,NA,NA,36.1,7.9,27.7,0.5,17594,NA,17594,"JP","GR","C","CP","016","CO","3"
"JP-GR-CC017","17","001",444,441,161,575,NA,NA,NA,NA,NA,NA,20.7,6.7,14,0,8851,NA,8851,"JP","GR","C","CP","017","CO","2"
"JP-GR-CC018","17","001",513,772,533,358,NA,NA,NA,NA,NA,NA,60.3,14.7,45.6,0,30686,NA,30686,"JP","GR","C","CP","018","CO","3"
"JP-GR-CC027","17","001",693,2095,1270,158,NA,NA,NA,NA,NA,NA,38.9,19.8,19.1,0,43277,NA,43277,"JP","GR","C","CP","027","CO","2"
"JP-GR-CC029","17","001",1164,2647,0,878,NA,NA,NA,NA,NA,NA,7.4,1.3,6.1,0,5152,1131,6283,"JP","GR","C","CP","029","CO","1"
"JP-GR-CC031","17","001",1026,772,0,599,NA,NA,NA,NA,NA,NA,15,7.6,6.6,0.8,8705,NA,8705,"JP","GR","C","CP","031","CO","1"
"JP-GR-CC033","17","001",1067,1544,819,158,NA,NA,NA,NA,NA,NA,29.9,16.6,13.3,0,15243,NA,15243,"JP","GR","C","CP","033","CO","2"
"JP-GR-CC034","17","001",1760,1764,0,1157,NA,NA,NA,NA,NA,NA,8.1,2.2,5.9,0,3535,3036,6571,"JP","GR","C","CP","034","CO","1"
"JP-GR-CC038","17","001",1109,2095,0,316,NA,NA,NA,NA,NA,NA,8.3,4.4,3.8,0.1,3631,NA,3631,"JP","GR","C","CP","038","CO","1"
"JP-GR-GC001","17","001",1899,4411,11578,0,NA,NA,NA,NA,NA,NA,2.6,2.2,0.4,0,735,1559,2294,"JP","GR","G","CP","001","BM","3"
"JP-GR-GC003","17","001",2814,6396,8867,3596,NA,NA,NA,NA,NA,NA,2.3,2.3,0,0,1158,1447,2605,"JP","GR","G","CP","003","BM","3"
"JP-GR-GC005","17","001",1816,3750,5407,0,NA,NA,NA,NA,NA,NA,2,2,0,0,NA,1327,1327,"JP","GR","G","CP","005","BM","3"
"JP-GR-GC010","17","001",2024,2316,750,0,NA,NA,NA,NA,NA,NA,1.4,1.1,0.3,0,NA,783,783,"JP","GR","G","CP","010","BM","2"
"JP-GR-GC011","17","001",291,993,477,0,NA,NA,NA,NA,NA,NA,0.3,0.3,0,0,NA,195,195,"JP","GR","G","CP","011","BM","1"
"JP-GR-GC015","17","001",1843,1764,7930,0,NA,NA,NA,NA,NA,NA,2.4,1.5,0.9,0,941,1645,2586,"JP","GR","G","CP","015","BM","2"
"JP-GR-GC016","17","001",610,993,1309,617,NA,NA,NA,NA,NA,NA,0.9,0.7,0.2,0,NA,430,430,"JP","GR","G","CP","016","BM","2"
"JP-GR-GC018","17","001",3132,2316,0,1707,NA,NA,NA,NA,NA,NA,1,0.8,0.2,0,NA,831,831,"JP","GR","G","CP","018","BM","2"
"JP-GR-GC021","17","001",956,3529,1783,158,NA,NA,NA,NA,NA,NA,1,0.9,0.1,0,NA,561,561,"JP","GR","G","CP","021","BM","1"
"JP-GR-GC026","17","001",2730,5404,1372,0,NA,NA,NA,NA,NA,NA,0.4,0.3,0.1,0,NA,237,237,"JP","GR","G","CP","026","BM","1"
"JP-GR-GC027","17","001",277,1544,0,654,NA,NA,NA,NA,NA,NA,1.1,0.9,0.2,0,NA,679,679,"JP","GR","G","CP","027","BM","1"
"JP-GR-GC028","17","001",1234,2647,539,516,NA,NA,NA,NA,NA,NA,1.1,1,0.1,0,NA,716,716,"JP","GR","G","CP","028","BM","2"
"JP-GR-GC029","17","001",1552,3529,3871,0,NA,NA,NA,NA,NA,NA,1.5,1,0.5,0,NA,950,950,"JP","GR","G","CP","029","BM","3"
"JP-GR-GC031","17","001",1746,4742,266,713,NA,NA,NA,NA,NA,NA,1,1,0,0,NA,15,15,"JP","GR","G","CP","031","BM","1"
"JP-GR-GC035","17","001",2717,3860,0,7851,NA,NA,NA,NA,NA,NA,1.6,0.9,0.7,0,NA,862,862,"JP","GR","G","CP","035","BM","2"
"JP-GR-MC001","17","001",1261,3639,329,158,NA,NA,NA,NA,NA,NA,0.4,0.2,0.2,0,NA,257,257,"JP","GR","M","CP","001","ME","2"
"JP-GR-MC005","17","001",263,882,842,0,NA,NA,NA,NA,NA,NA,0.4,0.2,0.2,0,NA,136,136,"JP","GR","M","CP","005","ME","1"
"JP-GR-MC006","17","001",1109,1103,1467,641,NA,NA,NA,NA,NA,NA,0.1,0.1,0,0,NA,15,15,"JP","GR","M","CP","006","ME","1"
"JP-GR-MC009","17","001",1289,3639,11627,0,NA,NA,NA,NA,NA,NA,2.9,1,1.9,0,NA,2360,2360,"JP","GR","M","CP","009","ME","3"
"JP-GR-MC012","17","001",1344,2426,750,0,NA,NA,NA,NA,NA,NA,0.4,0.3,0.1,0,NA,107,107,"JP","GR","M","CP","012","ME","2"
"JP-GR-MC013","17","001",984,1985,211,2792,NA,NA,NA,NA,NA,NA,0.6,0.6,0,0,NA,313,313,"JP","GR","M","CP","013","ME","2"
"JP-GR-MC018","17","001",1525,2536,5838,417,NA,NA,NA,NA,NA,NA,2.3,0.8,1.5,0,NA,476,476,"JP","GR","M","CP","018","ME","3"
"JP-GR-MC020","17","001",416,3860,10683,0,NA,NA,NA,NA,NA,NA,2.7,2.4,0.3,0,1232,716,1948,"JP","GR","M","CP","020","ME","3"
"JP-GR-MC021","17","001",915,2647,6351,400,NA,NA,NA,NA,NA,NA,0.3,0.3,0,0,NA,10,10,"JP","GR","M","CP","021","ME","2"
"JP-GR-MC022","17","001",1081,1544,1138,663,NA,NA,NA,NA,NA,NA,1.8,1.8,0,0,NA,764,764,"JP","GR","M","CP","022","ME","2"
"JP-GR-MC026","17","001",1511,4191,3236,2220,NA,NA,NA,NA,NA,NA,0.6,0.3,0.3,0,NA,124,124,"JP","GR","M","CP","026","ME","3"
"JP-GR-MC028","17","001",2259,9594,27605,631,NA,NA,NA,NA,NA,NA,0.9,0.8,0.1,0,NA,226,226,"JP","GR","M","CP","028","ME","3"
"JP-GR-MC029","17","001",2453,5183,10203,545,NA,NA,NA,NA,NA,NA,1.1,0.8,0.3,0,NA,390,390,"JP","GR","M","CP","029","ME","3"
"JP-GR-MC031","17","001",665,3198,1447,355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"JP","GR","M","CP","031","ME","1"
"JP-GR-MC039","17","001",166,1654,1743,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,5,5,"JP","GR","M","CP","039","ME","1"
"JP-ON-BC002","16","001",1331,1764,3421,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,2,2,"JP","ON","B","CP","002","FI","2"
"JP-ON-BC005","16","001",665,1764,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,"JP","ON","B","CP","005","FI","1"
"JP-ON-BC009","16","001",166,0,842,0,NA,NA,NA,NA,NA,NA,6.5,6.5,0,0,NA,1420,1420,"JP","ON","B","CP","009","FI","2"
"JP-ON-BC014","16","001",388,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,"JP","ON","B","CP","014","FI","1"
"JP-ON-BC016","16","001",1331,14116,0,0,NA,NA,NA,NA,NA,NA,2.6,2.6,0,0,NA,281,281,"JP","ON","B","CP","016","FI","3"
"JP-ON-BC017","16","001",222,11028,645,0,NA,NA,NA,NA,NA,NA,7.4,7.4,0,0,NA,1333,1333,"JP","ON","B","CP","017","FI","3"
"JP-ON-BC018","16","001",2162,1764,1895,0,NA,NA,NA,NA,NA,NA,6.7,6.7,0,0,NA,2056,2056,"JP","ON","B","CP","018","FI","3"
"JP-ON-BC021","16","001",610,1323,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,"JP","ON","B","CP","021","FI","2"
"JP-ON-BC023","16","001",1164,441,1066,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,"JP","ON","B","CP","023","FI","1"
"JP-ON-BC024","16","001",942,882,4539,0,NA,NA,NA,NA,NA,NA,12.6,12.6,0,0,NA,1933,1933,"JP","ON","B","CP","024","FI","3"
"JP-ON-BC025","16","001",2994,3088,1066,0,NA,NA,NA,NA,NA,NA,8.7,8.7,0,0,NA,1342,1342,"JP","ON","B","CP","025","FI","3"
"JP-ON-BC027","16","001",2661,3970,1592,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,"JP","ON","B","CP","027","FI","2"
"JP-ON-BC031","16","001",3271,6176,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,"JP","ON","B","CP","031","FI","2"
"JP-ON-BC032","16","001",1441,13234,0,483,NA,NA,NA,NA,NA,NA,9.7,9.7,0,0,NA,2848,2848,"JP","ON","B","CP","032","FI","2"
"JP-ON-BC033","16","001",1220,1764,1895,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,2,2,"JP","ON","B","CP","033","FI","2"
"JP-ON-BC035","16","001",3714,8381,5263,0,NA,NA,NA,NA,NA,NA,1.7,1.7,0,0,NA,327,327,"JP","ON","B","CP","035","FI","3"
"JP-ON-BC036","16","001",2938,1764,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,"JP","ON","B","CP","036","FI","2"
"JP-ON-BCD01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JP-ON-CC000","16","001",541,441,477,0,NA,NA,NA,NA,NA,NA,15.9,15.9,0,0,18384,NA,18384,"JP","ON","C","CP","000","CO","2"
"JP-ON-CC002","16","001",388,1323,0,0,NA,NA,NA,NA,NA,NA,19.6,19.6,0,0,18897,NA,18897,"JP","ON","C","CP","002","CO","2"
"JP-ON-CC004","16","001",1331,1323,0,0,NA,NA,NA,NA,NA,NA,30.3,30.3,0,0,29504,NA,29504,"JP","ON","C","CP","004","CO","3"
"JP-ON-CC006","16","001",582,1103,322,355,NA,NA,NA,NA,NA,NA,11.5,11.5,0,0,7005,NA,7005,"JP","ON","C","CP","006","CO","1"
"JP-ON-CC008","16","001",513,1544,885,0,NA,NA,NA,NA,NA,NA,15.9,15.9,0,0,21877,NA,21877,"JP","ON","C","CP","008","CO","2"
"JP-ON-CC012","16","001",735,993,266,0,NA,NA,NA,NA,NA,NA,12.5,12.5,0,0,12689,NA,12689,"JP","ON","C","CP","012","CO","1"
"JP-ON-CC013","16","001",333,662,372,0,NA,NA,NA,NA,NA,NA,18.4,18.4,0,0,6835,NA,6835,"JP","ON","C","CP","013","CO","1"
"JP-ON-CC014","16","001",333,993,211,200,NA,NA,NA,NA,NA,NA,2.8,2.8,0,0,2935,NA,2935,"JP","ON","C","CP","014","CO","1"
"JP-ON-CC020","16","001",236,331,211,0,NA,NA,NA,NA,NA,NA,27.1,27.1,0,0,34097,NA,34097,"JP","ON","C","CP","020","CO","2"
"JP-ON-CC024","16","001",402,331,477,0,NA,NA,NA,NA,NA,NA,16.6,16.6,0,0,19178,NA,19178,"JP","ON","C","CP","024","CO","1"
"JP-ON-CC027","16","001",222,551,329,0,NA,NA,NA,NA,NA,NA,14.8,14.8,0,0,16232,NA,16232,"JP","ON","C","CP","027","CO","2"
"JP-ON-CC028","16","001",388,772,0,0,NA,NA,NA,NA,NA,NA,18.1,18.1,0,0,21150,NA,21150,"JP","ON","C","CP","028","CO","2"
