"subplot_id","year","speriod","dwd_fuel_10h","dwd_fuel_100h","dwd_fuel_1000h_s","dwd_fuel_1000h_r","rcode","scode","pcode","ptype","sp_number","treatment","sp_slope","sp_aspect","p_elevation"
"JP-GR-BC006","06","001",1843,2647,3368,0,"JP","GR","B","CP","006","FI",9,10,1836
"JP-GR-BC009","06","001",402,1323,1483,1751,"JP","GR","B","CP","009","FI",7,350,1836
"JP-GR-BC013","06","001",1344,2206,5302,0,"JP","GR","B","CP","013","FI",9,10,1836
"JP-GR-BC014","06","001",1372,2647,329,0,"JP","GR","B","CP","014","FI",8,325,1836
"JP-GR-BC018","06","001",693,1654,1924,0,"JP","GR","B","CP","018","FI",11,0,1836
"JP-GR-BC020","06","001",1261,1764,5342,0,"JP","GR","B","CP","020","FI",8,350,1836
"JP-GR-BC026","06","001",554,1654,819,0,"JP","GR","B","CP","026","FI",17,340,1836
"JP-GR-BC027","06","001",638,1875,664,0,"JP","GR","B","CP","027","FI",8,0,1836
"JP-GR-BC030","06","001",679,1764,3898,0,"JP","GR","B","CP","030","FI",8,0,1836
"JP-GR-BC031","06","001",679,882,211,0,"JP","GR","B","CP","031","FI",16,320,1836
"JP-GR-BC033","06","001",568,772,266,972,"JP","GR","B","CP","033","FI",13,10,1836
"JP-GR-BC034","06","001",1095,551,1960,0,"JP","GR","B","CP","034","FI",10,340,1836
"JP-GR-BC036","06","001",263,882,266,0,"JP","GR","B","CP","036","FI",13,320,1836
"JP-GR-BC037","06","001",679,331,0,0,"JP","GR","B","CP","037","FI",26,345,1836
"JP-GR-BC038","06","001",444,1103,0,200,"JP","GR","B","CP","038","FI",16,340,1836
"JP-GR-CC003","06","001",402,1985,0,0,"JP","GR","C","CP","003","CO",11,0,1804
"JP-GR-CC004","06","001",319,1544,0,0,"JP","GR","C","CP","004","CO",5,5,1804
"JP-GR-CC006","06","001",236,551,477,0,"JP","GR","C","CP","006","CO",16,13,1804
"JP-GR-CC007","06","001",194,110,645,0,"JP","GR","C","CP","007","CO",6,5,1804
"JP-GR-CC008","06","001",485,2316,398,0,"JP","GR","C","CP","008","CO",12,320,1804
"JP-GR-CC013","06","001",249,662,684,0,"JP","GR","C","CP","013","CO",12,0,1804
"JP-GR-CC016","06","001",222,772,0,0,"JP","GR","C","CP","016","CO",10,35,1804
"JP-GR-CC017","06","001",333,1103,1296,0,"JP","GR","C","CP","017","CO",18,0,1804
"JP-GR-CC018","06","001",139,331,0,0,"JP","GR","C","CP","018","CO",14,0,1804
"JP-GR-CC027","06","001",1441,2536,3352,0,"JP","GR","C","CP","027","CO",8,350,1804
"JP-GR-CC029","06","001",832,1654,0,0,"JP","GR","C","CP","029","CO",4,340,1804
"JP-GR-CC031","06","001",707,1103,266,0,"JP","GR","C","CP","031","CO",4,5,1804
"JP-GR-CC033","06","001",776,1875,1217,0,"JP","GR","C","CP","033","CO",8,240,1804
"JP-GR-CC034","06","001",1940,1544,1865,0,"JP","GR","C","CP","034","CO",9,340,1804
"JP-GR-CC038","06","001",818,993,740,0,"JP","GR","C","CP","038","CO",7,310,1804
"JP-GR-GC001","06","001",249,772,1796,417,"JP","GR","G","CP","001","BM",9,348,1768
"JP-GR-GC003","06","001",1095,2867,2174,0,"JP","GR","G","CP","003","BM",19,90,1768
"JP-GR-GC005","06","001",513,1544,477,0,"JP","GR","G","CP","005","BM",9,330,1768
"JP-GR-GC010","06","001",166,551,0,0,"JP","GR","G","CP","010","BM",8,90,1768
"JP-GR-GC011","06","001",14,551,398,0,"JP","GR","G","CP","011","BM",9,80,1768
"JP-GR-GC015","06","001",832,4852,3901,247,"JP","GR","G","CP","015","BM",4,290,1768
"JP-GR-GC016","06","001",651,1764,645,0,"JP","GR","G","CP","016","BM",5,0,1768
"JP-GR-GC018","06","001",222,662,0,0,"JP","GR","G","CP","018","BM",6,320,1768
"JP-GR-GC021","06","001",42,1985,1661,0,"JP","GR","G","CP","021","BM",16,80,1768
"JP-GR-GC026","06","001",457,1323,211,0,"JP","GR","G","CP","026","BM",3,320,1768
"JP-GR-GC027","06","001",513,1764,398,200,"JP","GR","G","CP","027","BM",4,350,1768
"JP-GR-GC028","06","001",152,772,0,0,"JP","GR","G","CP","028","BM",3,0,1768
"JP-GR-GC029","06","001",97,331,0,0,"JP","GR","G","CP","029","BM",5,350,1768
"JP-GR-GC031","06","001",707,1985,954,0,"JP","GR","G","CP","031","BM",8,80,1768
"JP-GR-GC035","06","001",208,551,0,0,"JP","GR","G","CP","035","BM",6,10,1768
"JP-GR-MC001","06","001",624,2206,1289,0,"JP","GR","M","CP","001","ME",7,20,1785
"JP-GR-MC005","06","001",804,3088,556,0,"JP","GR","M","CP","005","ME",7,5,1785
"JP-GR-MC006","06","001",693,662,398,0,"JP","GR","M","CP","006","ME",6,20,1785
"JP-GR-MC009","06","001",291,1875,1187,0,"JP","GR","M","CP","009","ME",8,330,1785
"JP-GR-MC012","06","001",1622,1985,740,910,"JP","GR","M","CP","012","ME",7,5,1785
"JP-GR-MC013","06","001",707,1654,3125,0,"JP","GR","M","CP","013","ME",5,345,1785
"JP-GR-MC018","06","001",263,441,539,713,"JP","GR","M","CP","018","ME",8,340,1785
"JP-GR-MC020","06","001",277,1544,266,0,"JP","GR","M","CP","020","ME",17,340,1785
"JP-GR-MC021","06","001",554,3419,1332,597,"JP","GR","M","CP","021","ME",11,345,1785
"JP-GR-MC022","06","001",1261,1103,1029,713,"JP","GR","M","CP","022","ME",20,10,1785
"JP-GR-MC026","06","001",111,331,7216,0,"JP","GR","M","CP","026","ME",10,252,1785
"JP-GR-MC028","06","001",541,2647,0,0,"JP","GR","M","CP","028","ME",21,60,1785
"JP-GR-MC029","06","001",430,2647,3256,0,"JP","GR","M","CP","029","ME",8,320,1785
"JP-GR-MC031","06","001",665,4301,947,355,"JP","GR","M","CP","031","ME",11,350,1785
"JP-GR-MC039","06","001",665,1985,421,0,"JP","GR","M","CP","039","ME",11,340,1785
"JP-MC-CC008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JP-ON-BC002","06","001",721,772,329,0,"JP","ON","B","CP","002","FI",7,80,1712
"JP-ON-BC005","06","001",499,662,0,0,"JP","ON","B","CP","005","FI",11,140,1712
"JP-ON-BC009","06","001",402,221,559,0,"JP","ON","B","CP","009","FI",7,65,1712
"JP-ON-BC014","06","001",485,551,0,0,"JP","ON","B","CP","014","FI",7,100,1712
"JP-ON-BC016","06","001",638,331,0,0,"JP","ON","B","CP","016","FI",7,80,1712
"JP-ON-BC017","06","001",541,662,0,0,"JP","ON","B","CP","017","FI",7,85,1712
"JP-ON-BC018","06","001",388,441,0,0,"JP","ON","B","CP","018","FI",10,70,1712
"JP-ON-BC021","06","001",651,662,0,0,"JP","ON","B","CP","021","FI",14,180,1712
"JP-ON-BC023","06","001",388,331,0,0,"JP","ON","B","CP","023","FI",8,90,1712
"JP-ON-BC024","06","001",541,882,266,0,"JP","ON","B","CP","024","FI",6,80,1712
"JP-ON-BC025","06","001",444,221,0,247,"JP","ON","B","CP","025","FI",14,80,1712
"JP-ON-BC027","06","001",859,1103,474,0,"JP","ON","B","CP","027","FI",10,130,1712
"JP-ON-BC031","06","001",596,0,0,0,"JP","ON","B","CP","031","FI",8,80,1712
"JP-ON-BC032","06","001",818,1434,1592,0,"JP","ON","B","CP","032","FI",9,80,1712
"JP-ON-BC033","06","001",693,1434,161,0,"JP","ON","B","CP","033","FI",8,80,1712
"JP-ON-BC035","06","001",610,221,0,0,"JP","ON","B","CP","035","FI",10,75,1712
"JP-ON-BC036","06","001",818,2316,533,0,"JP","ON","B","CP","036","FI",9,15,1712
"JP-ON-BCD01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,114,1712
"JP-ON-CC000","06","001",679,772,0,0,"JP","ON","C","CP","000","CO",10,106,1712
"JP-ON-CC002","06","001",1095,993,0,0,"JP","ON","C","CP","002","CO",8,65,1712
"JP-ON-CC004","06","001",277,221,0,0,"JP","ON","C","CP","004","CO",10,30,1712
"JP-ON-CC006","06","001",707,1544,0,0,"JP","ON","C","CP","006","CO",2,100,1712
"JP-ON-CC008","06","001",665,110,0,0,"JP","ON","C","CP","008","CO",8,90,1712
"JP-ON-CC012","06","001",444,221,0,0,"JP","ON","C","CP","012","CO",4,52,1712
"JP-ON-CC013","06","001",1358,993,0,0,"JP","ON","C","CP","013","CO",2,105,1712
"JP-ON-CC014","06","001",887,1213,477,0,"JP","ON","C","CP","014","CO",9,20,1712
"JP-ON-CC020","06","001",1067,882,0,0,"JP","ON","C","CP","020","CO",6,62,1712
"JP-ON-CC024","06","001",1525,441,0,0,"JP","ON","C","CP","024","CO",9,90,1712
"JP-ON-CC027","06","001",956,551,0,493,"JP","ON","C","CP","027","CO",6,60,1712
"JP-ON-CC028","06","001",457,772,0,0,"JP","ON","C","CP","028","CO",7,65,1712
"JP-ON-CC029","06","001",582,331,211,0,"JP","ON","C","CP","029","CO",9,65,1712
"JP-ON-CC030","06","001",1040,772,329,0,"JP","ON","C","CP","030","CO",10,65,1712
"JP-ON-CC033","06","001",596,882,872,0,"JP","ON","C","CP","033","CO",6,45,1712
"JP-ON-CC035","06","001",541,1213,0,298,"JP","ON","C","CP","035","CO",8,30,1712
"JP-ON-CC037","06","001",305,331,0,0,"JP","ON","C","CP","037","CO",8,20,1712
"JP-ON-CC038","06","001",471,2206,5440,0,"JP","ON","C","CP","038","CO",9,30,1712
"JP-ON-GC004","06","001",679,1764,0,0,"JP","ON","G","CP","004","BM",5,65,1704
"JP-ON-GC005","06","001",638,882,0,0,"JP","ON","G","CP","005","BM",8,85,1704
"JP-ON-GC006","06","001",527,1323,539,0,"JP","ON","G","CP","006","BM",7,100,1704
"JP-ON-GC010","06","001",513,882,0,0,"JP","ON","G","CP","010","BM",8,65,1704
"JP-ON-GC012","06","001",568,331,0,0,"JP","ON","G","CP","012","BM",3,70,1704
"JP-ON-GC013","06","001",582,110,266,0,"JP","ON","G","CP","013","BM",7,80,1704
"JP-ON-GC017","06","001",776,662,329,0,"JP","ON","G","CP","017","BM",7,60,1704
"JP-ON-GC018","06","001",499,441,0,417,"JP","ON","G","CP","018","BM",8,65,1704
"JP-ON-GC019","06","001",471,772,0,0,"JP","ON","G","CP","019","BM",5,65,1704
"JP-ON-GC022","06","001",444,110,0,0,"JP","ON","G","CP","022","BM",4,85,1704
"JP-ON-GC024","06","001",624,331,1901,0,"JP","ON","G","CP","024","BM",7,80,1704
"JP-ON-GC026","06","001",236,441,0,0,"JP","ON","G","CP","026","BM",9,80,1704
"JP-ON-GC030","06","001",762,0,0,0,"JP","ON","G","CP","030","BM",5,75,1704
"JP-ON-GC031","06","001",527,110,0,0,"JP","ON","G","CP","031","BM",8,60,1704
"JP-ON-GC033","06","001",347,882,3582,0,"JP","ON","G","CP","033","BM",7,50,1704
"JP-ON-GC034","06","001",582,662,372,200,"JP","ON","G","CP","034","BM",7,50,1704
"JP-ON-MC002","06","001",707,331,0,0,"JP","ON","M","CP","002","ME",33,170,1736
"JP-ON-MC004","06","001",541,221,211,0,"JP","ON","M","CP","004","ME",3,110,1736
"JP-ON-MC008","06","001",402,221,0,0,"JP","ON","M","CP","008","ME",4,70,1736
"JP-ON-MC015","06","001",402,441,329,0,"JP","ON","M","CP","015","ME",18,40,1736
"JP-ON-MC016","06","001",347,1544,0,513,"JP","ON","M","CP","016","ME",8,10,1736
"JP-ON-MC018","06","001",1137,1434,0,575,"JP","ON","M","CP","018","ME",27,200,1736
"JP-ON-MC019","06","001",845,1434,0,0,"JP","ON","M","CP","019","ME",15,200,1736
"JP-ON-MC021","06","001",901,331,0,0,"JP","ON","M","CP","021","ME",10,150,1736
"JP-ON-MC024","06","001",679,1213,0,0,"JP","ON","M","CP","024","ME",6,70,1736
"JP-ON-MC025","06","001",527,882,0,355,"JP","ON","M","CP","025","ME",16,45,1736
"JP-ON-MC028","06","001",402,882,211,158,"JP","ON","M","CP","028","ME",13,80,1736
"JP-ON-MC032","06","001",333,441,0,0,"JP","ON","M","CP","032","ME",13,70,1736
"JP-ON-MC033","06","001",942,221,951,493,"JP","ON","M","CP","033","ME",8,30,1736
"JP-ON-MC034","06","001",1344,882,0,0,"JP","ON","M","CP","034","ME",6,80,1736
"JP-ON-MC036","06","001",596,551,266,0,"JP","ON","M","CP","036","ME",3,20,1736
"JP-ON-MC038","06","001",845,1213,0,0,"JP","ON","M","CP","038","ME",2,100,1736
"JP-ON-MC039","06","001",513,110,211,0,"JP","ON","M","CP","039","ME",4,150,1736
"JP-SC-BC001","06","001",208,1103,0,0,"JP","SC","B","CP","001","FI",7,270,1742
"JP-SC-BC004","06","001",471,1103,740,0,"JP","SC","B","CP","004","FI",7,270,1742
"JP-SC-BC005","06","001",554,551,161,0,"JP","SC","B","CP","005","FI",6,270,1742
"JP-SC-BC006","06","001",735,1213,0,247,"JP","SC","B","CP","006","FI",6,270,1742
"JP-SC-BC007","06","001",1344,993,803,0,"JP","SC","B","CP","007","FI",6,270,1742
"JP-SC-BC008","06","001",319,993,0,0,"JP","SC","B","CP","008","FI",10,270,1742
"JP-SC-BC011","06","001",152,551,421,0,"JP","SC","B","CP","011","FI",11,270,1742
"JP-SC-BC012","06","001",249,772,0,0,"JP","SC","B","CP","012","FI",9,270,1742
"JP-SC-BC013","06","001",845,662,0,0,"JP","SC","B","CP","013","FI",14,270,1742
"JP-SC-BC014","06","001",485,882,398,0,"JP","SC","B","CP","014","FI",13,270,1742
"JP-SC-BC015","06","001",582,993,2756,0,"JP","SC","B","CP","015","FI",11,270,1742
"JP-SC-BC016","06","001",1012,1323,559,0,"JP","SC","B","CP","016","FI",5,270,1742
"JP-SC-BC017","06","001",582,551,0,247,"JP","SC","B","CP","017","FI",9,270,1742
"JP-SC-BC018","06","001",457,110,0,158,"JP","SC","B","CP","018","FI",9,270,1742
"JP-SC-BC025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1742
"JP-SC-CC001","06","001",347,551,0,0,"JP","SC","C","CP","001","CO",3,270,1753
"JP-SC-CC002","06","001",236,993,1427,0,"JP","SC","C","CP","002","CO",3,270,1753
"JP-SC-CC003","06","001",305,993,1066,0,"JP","SC","C","CP","003","CO",3,270,1753
"JP-SC-CC004","06","001",291,551,398,0,"JP","SC","C","CP","004","CO",4,270,1753
"JP-SC-CC005","06","001",263,551,0,0,"JP","SC","C","CP","005","CO",4,270,1753
"JP-SC-CC006","06","001",818,1985,421,355,"JP","SC","C","CP","006","CO",1,270,1753
"JP-SC-CC007","06","001",901,3088,1385,713,"JP","SC","C","CP","007","CO",2,270,1753
"JP-SC-CC008","06","001",388,331,0,0,"JP","SC","C","CP","008","CO",9,225,1753
"JP-SC-CC009","06","001",444,441,0,0,"JP","SC","C","CP","009","CO",9,225,1753
"JP-SC-CC010","06","001",471,1213,1714,0,"JP","SC","C","CP","010","CO",5,225,1753
"JP-SC-CC011","06","001",152,772,1135,0,"JP","SC","C","CP","011","CO",11,270,1753
"JP-SC-CC012","06","001",513,1213,595,158,"JP","SC","C","CP","012","CO",8,270,1753
"JP-SC-CC013","06","001",776,1985,2023,555,"JP","SC","C","CP","013","CO",6,270,1753
"JP-SC-CC014","06","001",527,2095,1335,0,"JP","SC","C","CP","014","CO",3,270,1753
"JP-SC-GC001","06","001",651,1103,266,0,"JP","SC","G","CP","001","BM",2,270,1694
"JP-SC-GC002","06","001",55,110,398,0,"JP","SC","G","CP","002","BM",9,270,1694
"JP-SC-GC003","06","001",333,331,0,0,"JP","SC","G","CP","003","BM",9,270,1694
"JP-SC-GC004","06","001",305,441,2592,0,"JP","SC","G","CP","004","BM",7,270,1694
"JP-SC-GC005","06","001",222,331,0,0,"JP","SC","G","CP","005","BM",9,270,1694
"JP-SC-GC006","06","001",236,662,727,0,"JP","SC","G","CP","006","BM",7,270,1694
"JP-SC-GC007","06","001",499,1103,0,0,"JP","SC","G","CP","007","BM",8,270,1694
"JP-SC-GC008","06","001",305,772,0,0,"JP","SC","G","CP","008","BM",4,270,1694
"JP-SC-GC009","06","001",249,882,329,0,"JP","SC","G","CP","009","BM",9,270,1694
"JP-SC-GC010","06","001",347,772,0,0,"JP","SC","G","CP","010","BM",10,270,1694
"JP-SC-GC011","06","001",360,1544,1664,0,"JP","SC","G","CP","011","BM",3,270,1694
"JP-SC-GC012","06","001",513,882,0,0,"JP","SC","G","CP","012","BM",8,270,1694
"JP-SC-GC013","06","001",139,221,0,0,"JP","SC","G","CP","013","BM",12,270,1694
"JP-SC-GC014","06","001",152,662,0,0,"JP","SC","G","CP","014","BM",8,270,1694
"JP-SC-MC002","06","001",873,331,211,0,"JP","SC","M","CP","002","ME",10,225,1750
"JP-SC-MC003","06","001",721,551,0,298,"JP","SC","M","CP","003","ME",10,270,1750
"JP-SC-MC004","06","001",776,1213,211,2526,"JP","SC","M","CP","004","ME",5,270,1750
"JP-SC-MC005","06","001",845,1323,2237,298,"JP","SC","M","CP","005","ME",10,270,1750
"JP-SC-MC007","06","001",665,1985,2954,0,"JP","SC","M","CP","007","ME",4,270,1750
"JP-SC-MC008","06","001",333,1764,2112,0,"JP","SC","M","CP","008","ME",5,270,1750
"JP-SC-MC009","06","001",125,110,0,0,"JP","SC","M","CP","009","ME",5,270,1750
"JP-SC-MC010","06","001",125,221,0,0,"JP","SC","M","CP","010","ME",8,270,1750
"JP-SC-MC011","06","001",347,110,474,555,"JP","SC","M","CP","011","ME",3,270,1750
"JP-SC-MC012","06","001",610,551,211,0,"JP","SC","M","CP","012","ME",28,270,1750
"JP-SC-MC013","06","001",166,331,0,0,"JP","SC","M","CP","013","ME",13,270,1750
"JP-SC-MC016","06","001",194,662,0,0,"JP","SC","M","CP","016","ME",5,270,1750
"JP-SC-MC019","06","001",790,2095,937,0,"JP","SC","M","CP","019","ME",6,270,1750
"JP-SC-MC020","06","001",139,551,727,0,"JP","SC","M","CP","020","ME",4,270,1750
"JP-SV-BC005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJ-MC-BC002","06","001",457,1323,0,0,"PJ","MC","B","CP","002","FI",10,305,2183
"PJ-MC-BC003","06","001",2204,1103,1526,0,"PJ","MC","B","CP","003","FI",9,295,2183
"PJ-MC-BC004","06","001",776,1654,3848,0,"PJ","MC","B","CP","004","FI",7,335,2183
"PJ-MC-BC005","06","001",1788,2978,750,158,"PJ","MC","B","CP","005","FI",19,15,2183
"PJ-MC-BC006","06","001",2370,1323,398,400,"PJ","MC","B","CP","006","FI",14,0,2183
"PJ-MC-BC008","06","001",1566,4852,3750,200,"PJ","MC","B","CP","008","FI",16,325,2183
"PJ-MC-BC009","06","001",402,882,556,0,"PJ","MC","B","CP","009","FI",18,340,2183
"PJ-MC-BC010","06","001",1012,441,329,0,"PJ","MC","B","CP","010","FI",17,330,2183
"PJ-MC-BC012","06","001",457,1323,2414,0,"PJ","MC","B","CP","012","FI",20,0,2183
"PJ-MC-BC013","06","001",2134,2206,1654,0,"PJ","MC","B","CP","013","FI",7,315,2183
"PJ-MC-BC017","06","001",1026,1544,0,158,"PJ","MC","B","CP","017","FI",16,340,2183
"PJ-MC-BC020","06","001",263,221,0,0,"PJ","MC","B","CP","020","FI",11,200,2183
"PJ-MC-BC021","06","001",610,551,533,0,"PJ","MC","B","CP","021","FI",17,180,2183
"PJ-MC-BC022","06","001",1899,1764,0,802,"PJ","MC","B","CP","022","FI",25,310,2183
"PJ-MC-BC025","06","001",263,331,0,0,"PJ","MC","B","CP","025","FI",23,185,2183
"PJ-MC-BC026","06","001",527,441,0,158,"PJ","MC","B","CP","026","FI",27,165,2183
"PJ-MC-BC030","06","001",901,662,0,247,"PJ","MC","B","CP","030","FI",17,190,2183
"PJ-MC-BC031","06","001",333,1103,211,0,"PJ","MC","B","CP","031","FI",12,210,2183
"PJ-MC-BC032","06","001",1649,2206,0,760,"PJ","MC","B","CP","032","FI",7,215,2183
"PJ-MC-BC034","06","001",651,1434,1753,0,"PJ","MC","B","CP","034","FI",8,350,2183
"PJ-MC-BC036","06","001",1677,882,329,0,"PJ","MC","B","CP","036","FI",12,285,2183
"PJ-MC-BC038","06","001",541,1544,0,0,"PJ","MC","B","CP","038","FI",12,320,2183
"PJ-MC-CC004","06","001",693,221,0,0,"PJ","MC","C","CP","004","CO",11,50,2150
"PJ-MC-CC006","06","001",291,331,0,0,"PJ","MC","C","CP","006","CO",10,50,2150
"PJ-MC-CC008","06","001",624,772,0,417,"PJ","MC","C","CP","008","CO",9,6,2150
"PJ-MC-CC009","06","001",901,110,329,0,"PJ","MC","C","CP","009","CO",9,6,2150
"PJ-MC-CC011","06","001",1469,1213,0,405,"PJ","MC","C","CP","011","CO",7,29,2150
"PJ-MC-CC015","06","001",347,551,0,0,"PJ","MC","C","CP","015","CO",6,40,2150
"PJ-MC-CC019","06","001",582,1213,211,0,"PJ","MC","C","CP","019","CO",9,45,2150
"PJ-MC-CC020","06","001",638,1323,398,0,"PJ","MC","C","CP","020","CO",8,43,2150
"PJ-MC-CC024","06","001",1150,331,0,0,"PJ","MC","C","CP","024","CO",11,80,2150
"PJ-MC-CC026","06","001",1040,2426,329,158,"PJ","MC","C","CP","026","CO",7,3,2150
"PJ-MC-CC028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2150
"PJ-MC-CC029","06","001",679,882,0,0,"PJ","MC","C","CP","029","CO",8,47,2150
"PJ-MC-CC032","06","001",1026,551,0,0,"PJ","MC","C","CP","032","CO",10,65,2150
"PJ-MC-CC034","06","001",762,1213,0,0,"PJ","MC","C","CP","034","CO",9,20,2150
"PJ-MC-CC035","06","001",1012,1544,329,0,"PJ","MC","C","CP","035","CO",7,18,2150
"PJ-MC-CC038","06","001",762,1213,0,0,"PJ","MC","C","CP","038","CO",6,45,2150
"PJ-MC-MC004","06","001",665,2316,1306,0,"PJ","MC","M","CP","004","ME",10,10,2209
"PJ-MC-MC006","06","001",582,3529,2529,1741,"PJ","MC","M","CP","006","ME",7,290,2209
"PJ-MC-MC009","06","001",610,1764,0,158,"PJ","MC","M","CP","009","ME",8,260,2209
"PJ-MC-MC013","06","001",915,1103,0,0,"PJ","MC","M","CP","013","ME",7,200,2209
"PJ-MC-MC018","06","001",360,993,0,0,"PJ","MC","M","CP","018","ME",9,210,2209
"PJ-MC-MC019","06","001",499,1434,329,0,"PJ","MC","M","CP","019","ME",9,195,2209
"PJ-MC-MC020","06","001",638,882,0,0,"PJ","MC","M","CP","020","ME",7,185,2209
"PJ-MC-MC021","06","001",333,993,1638,298,"PJ","MC","M","CP","021","ME",10,115,2209
"PJ-MC-MC023","06","001",2093,1434,266,0,"PJ","MC","M","CP","023","ME",7,200,2209
"PJ-MC-MC024","06","001",1594,2316,0,247,"PJ","MC","M","CP","024","ME",13,25,2209
"PJ-MC-MC025","06","001",1816,1654,0,405,"PJ","MC","M","CP","025","ME",11,185,2209
"PJ-MC-MC026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2209
