THIS DATA SET MADE TO HAVE 2006 PRETRT DATA FOR OJ (ONLY PRETRT YR FOR THAT SITE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND PRETRT DATA IN 2007 FOR UT ST, SC, GR BECAUSE THERE WAS A PROBLEM WITH SHRUB COVER AT GR IN 2006 PRETRT DATA COLLECTION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRETRT,,,,BM=Bullhog Mechanical or mastication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD IN TC FROM ORIGINAL MEAS YEAR,,,,, ,,, ,,,,,,,,,,,,,,YR2,,,,,,,,,,,,,,,,,,,,,PRETRT,VALUES,ARE VAR W/OUT NUMBER,,,2ND YR ARE VAR WITH 2 AT END
REG,LOC,LOCN,SUB,TRT,TRTN,YR,TC,TDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ST,6,0,BM,4,2007,47.2,0.739811912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ST,6,1,BM,4,2007,36.9,0.814569536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ST,6,3,BM,4,2007,43.3,0.797421731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ST,6,4,BM,4,2007,31.6,0.56529517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ST,6,6,BM,4,2007,36.3,0.717391304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ST,6,10,BM,4,2007,36.4,0.583333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ST,6,12,BM,4,2007,14.2,0.214501511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ST,6,13,BM,4,2007,9.2,0.144654088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ST,6,14,BM,4,2007,12.5,0.199044586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ST,6,15,BM,4,2007,15.1,0.205722071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ST,6,17,BM,4,2007,39.8,0.685025818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ST,6,23,BM,4,2007,20.2,0.313178295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ST,6,24,BM,4,2007,18.8,0.404301075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ST,6,25,BM,4,2007,28.3,0.493891798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ST,6,26,BM,4,2007,18.9,0.320882852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ON,7,4,BM,4,2006,8.3,0.254601227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ON,7,5,BM,4,2006,5.3,0.192028986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ON,7,6,BM,4,2006,7.7,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ON,7,10,BM,4,2006,14.9,0.358173077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ON,7,12,BM,4,2006,11,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ON,7,13,BM,4,2006,6.6,0.228373702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ON,7,17,BM,4,2006,24.2,0.828767123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ON,7,18,BM,4,2006,17.2,0.625454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ON,7,19,BM,4,2006,19.8,0.493765586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ON,7,22,BM,4,2006,11.2,0.397163121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ON,7,24,BM,4,2006,23.6,0.708708709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ON,7,26,BM,4,2006,36,0.869565217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ON,7,30,BM,4,2006,8.2,0.338842975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ON,7,31,BM,4,2006,7.6,0.219653179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ON,7,33,BM,4,2006,30.7,0.89244186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,ON,7,34,BM,4,2006,21.5,0.802238806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,SC,8,1,BM,4,2007,50.3,0.73216885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,SC,8,2,BM,4,2007,26.5,0.712365591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,SC,8,3,BM,4,2007,9.1,0.335793358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,SC,8,4,BM,4,2007,8.7,0.208633094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,SC,8,5,BM,4,2007,16.1,0.385167464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,SC,8,6,BM,4,2007,9.7,0.246192893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,SC,8,7,BM,4,2007,16.8,0.37752809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,SC,8,8,BM,4,2007,36.5,0.910224439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,SC,8,9,BM,4,2007,40.8,0.925170068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,SC,8,10,BM,4,2007,28.5,0.74025974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,SC,8,11,BM,4,2007,15.5,0.402597403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,SC,8,12,BM,4,2007,16.6,0.386946387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,SC,8,13,BM,4,2007,24.6,0.67768595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,SC,8,14,BM,4,2007,29.8,0.674208145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,GR,9,1,BM,4,2007,33.9,0.784722222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,GR,9,3,BM,4,2007,34.1,0.888020833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,GR,9,5,BM,4,2007,24.2,0.663013699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,GR,9,10,BM,4,2007,20.9,0.616519174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,GR,9,11,BM,4,2007,12.9,0.366477273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,GR,9,15,BM,4,2007,12.1,0.392857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,GR,9,16,BM,4,2007,16.1,0.482035928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,GR,9,18,BM,4,2007,15.6,0.489028213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,GR,9,21,BM,4,2007,10.8,0.392727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,GR,9,26,BM,4,2007,7.4,0.267148014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,GR,9,27,BM,4,2007,10,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,GR,9,28,BM,4,2007,10.6,0.306358382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,GR,9,29,BM,4,2007,21.4,0.688102894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,GR,9,31,BM,4,2007,10.6,0.321212121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,GR,9,35,BM,4,2007,14,0.608695652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
